id,subject,term,meaning_ja,example_en,example_ja,source,status,used_at
34,CONTRACT,venue,裁判地,Venue lies in the state courts of Delaware.,裁判地はデラウェア州裁判所とする。,,verified,
35,CONTRACT,arbitration,仲裁,Disputes shall be settled by arbitration.,紛争は仲裁により解決される。,,verified,
36,CONTRACT,mediation,調停,The parties attempted mediation before filing suit.,当事者らは提訴前に調停を試みた。,,verified,
37,CONTRACT,notice,通知,Notice shall be given in writing.,通知は書面で行うものとする。,,verified,
38,CONTRACT,force majeure,不可抗力,The flood qualified as force majeure.,その洪水は不可抗力に該当した。,,verified,
39,CONTRACT,confidentiality,秘密保持,Confidentiality survives termination of the agreement.,秘密保持義務は契約終了後も存続する。,,verified,
40,CONTRACT,non-disclosure agreement,秘密保持契約(NDA),The parties signed a non-disclosure agreement.,当事者らは秘密保持契約に署名した。,,verified,
41,CONTRACT,non-compete,競業避止,The non-compete lasts for two years.,競業避止義務は2年間継続する。,,verified,
42,CONTRACT,non-solicitation,勧誘禁止,The non-solicitation clause protects employees and customers.,勧誘禁止条項は従業員と顧客を保護する。,,verified,
43,CONTRACT,good faith,誠実(善意),The parties shall negotiate in good faith.,当事者らは誠実に交渉する。,,verified,
44,CONTRACT,best efforts,最大限の努力,The distributor shall use best efforts to promote sales.,販売店は販売促進に最大限の努力を尽くす。,,verified,
45,CONTRACT,reasonable efforts,合理的な努力,Reasonable efforts is a lower standard than best efforts.,合理的努力は最大限の努力より低い基準である。,,verified,
46,CONTRACT,material breach,重大な違反,A material breach permits immediate termination.,重大な違反があれば直ちに解除できる。,,verified,
47,CONTRACT,cure period,是正期間,The defaulting party has a thirty-day cure period.,不履行当事者には30日の是正期間がある。,,verified,
48,CONTRACT,termination for cause,事由に基づく解除,Termination for cause requires a material breach.,事由に基づく解除には重大な違反が必要である。,,verified,
49,CONTRACT,termination for convenience,任意解除(便宜解除),The client may exercise termination for convenience.,クライアントは任意解除を行使できる。,,verified,
50,CONTRACT,survival,(条項の)存続,The survival clause lists provisions that continue.,存続条項は継続する規定を列挙する。,,verified,
51,CONTRACT,counterparts,(契約書の)副本,The agreement may be executed in counterparts.,本契約は副本により締結できる。,,verified,
52,CONTRACT,binding,拘束力のある,The term sheet is not binding.,タームシートには拘束力がない。,,verified,
53,CONTRACT,enforceable,強制可能な(執行可能な),The clause is enforceable under state law.,その条項は州法上強制可能である。,,verified,
54,CONTRACT,void,無効な,An illegal contract is void.,違法な契約は無効である。,,verified,
55,CONTRACT,voidable,取消可能な,A contract signed under duress is voidable.,強迫下で締結された契約は取消可能である。,,verified,
56,CONTRACT,unenforceable,強制不能な,An oral land sale is unenforceable.,口頭の土地売買は強制不能である。,,verified,
57,CONTRACT,rescission,契約の取消し(解除),The buyer sought rescission of the sale.,買主は売買の取消しを求めた。,,verified,
58,CONTRACT,restitution,原状回復,Restitution restores the parties to their original positions.,原状回復は当事者を元の状態に戻す。,,verified,
59,CONTRACT,specific performance,特定履行,The court ordered specific performance of the sale.,裁判所は売買の特定履行を命じた。,,verified,
60,CONTRACT,injunction,差止命令,The court granted an injunction against the use.,裁判所はその使用に対する差止命令を認めた。,,verified,
61,CONTRACT,liquidated damages,損害賠償額の予定,Liquidated damages must be a reasonable estimate.,損害賠償額の予定は合理的な見積りでなければならない。,,verified,
62,CONTRACT,consequential damages,結果損害,The contract excludes consequential damages.,契約は結果損害を除外している。,,verified,
63,CONTRACT,incidental damages,付随的損害,Incidental damages include costs of cover.,付随的損害には代替品調達の費用が含まれる。,,verified,
64,CONTRACT,punitive damages,懲罰的損害賠償,Punitive damages punish egregious conduct.,懲罰的損害賠償は悪質な行為を制裁する。,,verified,
65,CONTRACT,mitigation,損害軽減,The seller failed to make mitigation efforts.,売主は損害軽減の努力を怠った。,,verified,
66,CONTRACT,disclaimer,免責(否認),The disclaimer excludes implied warranties.,その免責文言は黙示的保証を排除する。,,verified,
67,CONTRACT,limitation of liability,責任制限,The limitation of liability excludes indirect losses.,責任制限条項は間接損害を除外する。,,verified,
68,CONTRACT,liability cap,責任上限,The liability cap equals the fees paid.,責任上限は支払済み報酬額と同額である。,,verified,
69,CONTRACT,exclusivity,独占性(排他性),The distributor has exclusivity in Japan.,販売店は日本での独占権を有する。,,verified,
70,CONTRACT,license,ライセンス(使用許諾),The license permits use of the software.,ライセンスはソフトウェアの使用を許諾する。,,verified,
71,CONTRACT,sublicense,サブライセンス(再許諾),The licensee may not grant a sublicense.,ライセンシーは再許諾を行うことができない。,,verified,
72,CONTRACT,royalty,ロイヤルティ(実施料),The royalty is 5 percent of net sales.,ロイヤルティは純売上高の5パーセントである。,,verified,
73,CONTRACT,deliverables,成果物,The deliverables are listed in the schedule.,成果物は別紙に列挙されている。,,verified,
74,CONTRACT,milestone,マイルストーン(中間目標),Payment is tied to each milestone.,支払は各マイルストーンに連動する。,,verified,
75,CONTRACT,acceptance criteria,検収基準,The deliverables must meet the acceptance criteria.,成果物は検収基準を満たさなければならない。,,verified,
76,CONTRACT,statement of work,作業範囲記述書(SOW),The statement of work defines the services.,SOWは提供する役務を定義する。,,verified,
77,CONTRACT,change order,変更指図書,The change order increased the price.,変更指図書により代金が増額された。,,verified,
78,CONTRACT,purchase order,注文書,The buyer issued a purchase order.,買主は注文書を発行した。,,verified,
79,CONTRACT,invoice,請求書,The invoice is payable within thirty days.,請求書は30日以内に支払われる。,,verified,
80,CONTRACT,payment terms,支払条件,The payment terms are net sixty days.,支払条件は60日後払いである。,,verified,
81,CONTRACT,late payment interest,遅延利息,Late payment interest accrues at 10 percent.,遅延利息は年10パーセントで発生する。,,verified,
82,CONTRACT,set-off,相殺,The buyer exercised a right of set-off.,買主は相殺権を行使した。,,verified,
83,CONTRACT,escrow,エスクロー(第三者預託),The source code is held in escrow.,ソースコードはエスクローに預託されている。,,verified,
84,CONTRACT,deposit,手付金(預託金),The buyer paid a 10 percent deposit.,買主は10パーセントの手付金を支払った。,,verified,
85,CONTRACT,guarantee,保証,The parent company issued a guarantee.,親会社は保証を差し入れた。,,verified,
86,CONTRACT,guarantor,保証人,The guarantor is liable upon default.,保証人は債務不履行時に責任を負う。,,verified,
87,CONTRACT,performance,履行,Performance is due on the delivery date.,履行は引渡日に行われるべきものとする。,,verified,
88,CONTRACT,non-performance,不履行,Non-performance triggers the penalty clause.,不履行により違約金条項が発動する。,,verified,
89,CONTRACT,delay,履行遅滞,The delay entitled the buyer to damages.,履行遅滞により買主は損害賠償を請求できた。,,verified,
90,CONTRACT,time is of the essence,期限厳守(時間の本質性),Time is of the essence in this agreement.,本契約においては期限厳守が本質的条件である。,,verified,
91,CONTRACT,substantial performance,実質的履行,Substantial performance entitles the builder to payment.,実質的履行により建築業者は代金を請求できる。,,verified,
92,CONTRACT,anticipatory breach,履行期前の違反,The letter amounted to an anticipatory breach.,その書簡は履行期前の違反にあたった。,,verified,
93,CONTRACT,repudiation,履行拒絶,The seller's repudiation excused the buyer.,売主の履行拒絶により買主は免責された。,,verified,
94,CONTRACT,frustration,契約目的の達成不能(フラストレーション),The event frustrated the purpose of the contract.,その事象により契約目的が達成不能となった。,,verified,
95,CONTRACT,impossibility,履行不能,Impossibility discharged the parties' duties.,履行不能により当事者の義務は消滅した。,,verified,
96,CONTRACT,impracticability,実行困難性,Extreme cost increases may show impracticability.,極端な費用の増加は実行困難性を示し得る。,,verified,
97,CONTRACT,unconscionability,非良心性,The court found unconscionability in the terms.,裁判所はその条件に非良心性を認めた。,,verified,
98,CONTRACT,duress,強迫,The agreement was signed under duress.,その契約は強迫の下で署名された。,,verified,
99,CONTRACT,undue influence,不当威圧,Undue influence invalidated the gift.,不当威圧によりその贈与は無効とされた。,,verified,
100,CONTRACT,misrepresentation,不実表示,The buyer relied on a misrepresentation.,買主は不実表示を信頼した。,,verified,
101,CONTRACT,fraud,詐欺,The contract was rescinded for fraud.,その契約は詐欺を理由に取り消された。,,verified,
102,CONTRACT,mistake,錯誤,A mutual mistake made the contract voidable.,双方の錯誤により契約は取消可能となった。,,verified,
103,CONTRACT,capacity,行為能力,Minors lack full capacity to contract.,未成年者は完全な契約締結能力を欠く。,,verified,
104,CONTRACT,legality,適法性,Legality of purpose is required.,目的の適法性が要求される。,,verified,
105,CONTRACT,public policy,公序良俗(公共政策),The clause was void as against public policy.,その条項は公序良俗違反で無効とされた。,,verified,
106,CONTRACT,privity of contract,契約当事者関係,Privity of contract limits who can sue.,契約当事者関係は提訴できる者を限定する。,,verified,
107,CONTRACT,third-party beneficiary,第三者受益者,The insurance names a third-party beneficiary.,その保険は第三者受益者を指定する。,,verified,
108,CONTRACT,agent,代理人,The agent signed on behalf of the company.,代理人は会社を代理して署名した。,,verified,
109,CONTRACT,principal,本人,The principal is bound by authorized acts.,本人は権限内の行為に拘束される。,,verified,
110,CONTRACT,authority,権限,The manager lacked authority to sign.,その管理職には署名の権限がなかった。,,verified,
111,CONTRACT,power of attorney,委任状,She granted a power of attorney to her lawyer.,彼女は弁護士に委任状を交付した。,,verified,
112,CONTRACT,delegation,(義務の)委譲,Delegation does not release the original party.,義務の委譲は元の当事者を免責しない。,,verified,
113,CONTRACT,subcontract,下請契約,The builder entered into a subcontract.,建築業者は下請契約を締結した。,,verified,
114,CONTRACT,subcontractor,下請業者,The subcontractor performed the electrical work.,下請業者が電気工事を実施した。,,verified,
115,CONTRACT,vendor,売主(ベンダー),The vendor delivers the equipment monthly.,ベンダーは毎月機器を納入する。,,verified,
116,CONTRACT,supplier,供給者,The supplier guarantees the quality of materials.,供給者は材料の品質を保証する。,,verified,
117,CONTRACT,licensee,ライセンシー(実施権者),The licensee pays quarterly royalties.,ライセンシーは四半期ごとにロイヤルティを支払う。,,verified,
118,CONTRACT,licensor,ライセンサー(許諾者),The licensor retains ownership of the IP.,ライセンサーは知的財産の所有権を保持する。,,verified,
119,CONTRACT,assignee,譲受人,The assignee acquired all contract rights.,譲受人はすべての契約上の権利を取得した。,,verified,
120,CONTRACT,assignor,譲渡人,The assignor remains liable for past breaches.,譲渡人は過去の違反について責任を負い続ける。,,verified,
121,CONTRACT,successor,承継人,The agreement binds successors of each party.,本契約は各当事者の承継人を拘束する。,,verified,
122,CONTRACT,affiliate,関連会社,Affiliates may receive the confidential information.,関連会社は秘密情報を受領できる。,,verified,
123,CONTRACT,joint venture,合弁事業,The companies formed a joint venture.,両社は合弁事業を設立した。,,verified,
124,CONTRACT,memorandum of understanding,覚書(MOU),The memorandum of understanding outlines the cooperation.,覚書は協力の概要を定める。,,verified,
125,CONTRACT,letter of intent,基本合意書(LOI),The letter of intent preceded the final agreement.,基本合意書は最終契約に先行した。,,verified,
126,CONTRACT,term sheet,タームシート(条件概要書),The term sheet summarizes the key terms.,タームシートは主要条件を要約する。,,verified,
127,CONTRACT,due diligence,デュー・ディリジェンス,Due diligence revealed undisclosed liabilities.,デュー・ディリジェンスで未開示の債務が判明した。,,verified,
128,CONTRACT,closing,クロージング(取引実行),The closing took place on June 30.,クロージングは6月30日に行われた。,,verified,
129,CONTRACT,conditions precedent,前提条件(停止条件),The closing is subject to conditions precedent.,クロージングは前提条件の充足を条件とする。,,verified,
130,CONTRACT,conditions subsequent,解除条件,A condition subsequent terminates the obligation.,解除条件の成就により義務は消滅する。,,verified,
131,CONTRACT,escrow agent,エスクロー・エージェント,The escrow agent holds the funds until closing.,エスクロー・エージェントはクロージングまで資金を保管する。,,verified,
132,CONTRACT,earnest money,手付金,The buyer forfeited the earnest money.,買主は手付金を没収された。,,verified,
133,CONTRACT,ownership,所有権,Ownership passes upon full payment.,所有権は全額支払時に移転する。,,verified,
134,CONTRACT,possession,占有,The tenant took possession of the premises.,賃借人は物件の占有を開始した。,,verified,
135,CONTRACT,transfer,移転,The transfer of shares requires board approval.,株式の移転には取締役会の承認が必要である。,,verified,
136,CONTRACT,delivery,引渡し,Delivery shall be made at the buyer's warehouse.,引渡しは買主の倉庫で行われる。,,verified,
137,CONTRACT,risk of loss,危険負担,Risk of loss passes upon shipment.,危険負担は出荷時に移転する。,,verified,
138,CONTRACT,insurance,保険,The contractor shall maintain liability insurance.,請負業者は賠償責任保険を維持する。,,verified,
139,CONTRACT,insured,被保険者,The insured filed a claim promptly.,被保険者は速やかに保険金を請求した。,,verified,
140,CONTRACT,insurer,保険者,The insurer denied coverage for the loss.,保険者はその損害の填補を拒否した。,,verified,
141,CONTRACT,premium,保険料,The annual premium increased this year.,年間保険料は今年増額された。,,verified,
142,CONTRACT,claim,請求(クレーム),The claim was submitted within the deadline.,請求は期限内に提出された。,,verified,
143,CONTRACT,coverage,補償範囲,The policy provides coverage for water damage.,その保険は水漏れ損害を補償範囲に含む。,,verified,
144,CONTRACT,deductible,免責金額,The deductible is one thousand dollars per claim.,免責金額は1請求当たり1000ドルである。,,verified,
145,CONTRACT,defect,瑕疵(欠陥),The buyer notified the seller of the defect.,買主は売主に瑕疵を通知した。,,verified,
146,CONTRACT,warranty period,保証期間,Repairs are free during the warranty period.,保証期間中の修理は無償である。,,verified,
147,CONTRACT,negligence,過失,The damage resulted from the contractor's negligence.,その損害は請負業者の過失により生じた。,,verified,
148,CONTRACT,gross negligence,重過失,The cap does not apply to gross negligence.,責任上限は重過失には適用されない。,,verified,
149,CONTRACT,willful misconduct,故意の違反行為,Liability for willful misconduct cannot be excluded.,故意の違反行為に対する責任は排除できない。,,verified,
150,CONTRACT,strict liability,厳格責任,Strict liability applies to defective products.,厳格責任は欠陥製品に適用される。,,verified,
151,CONTRACT,tort,不法行為,The claim sounds in tort rather than contract.,その請求は契約ではなく不法行為に基づく。,,verified,
152,CONTRACT,joint and several liability,連帯責任,The partners assumed joint and several liability.,パートナーらは連帯責任を負った。,,verified,
153,CONTRACT,contribution,求償,The co-defendant sought contribution.,共同被告は求償を求めた。,,verified,
154,CONTRACT,subrogation,代位,The insurer acquired rights by subrogation.,保険者は代位により権利を取得した。,,verified,
155,CONTRACT,hold harmless,免責する,The client agreed to hold the consultant harmless.,クライアントはコンサルタントを免責することに合意した。,,verified,
156,CONTRACT,settlement,和解,The parties reached a settlement before trial.,当事者らは公判前に和解に達した。,,verified,
157,CONTRACT,dispute,紛争,Any dispute shall first be negotiated.,いかなる紛争もまず交渉により解決を図る。,,verified,
158,CONTRACT,dispute resolution,紛争解決,The dispute resolution clause requires arbitration.,紛争解決条項は仲裁を義務づける。,,verified,
159,CONTRACT,negotiation,交渉,The price was fixed after lengthy negotiation.,価格は長い交渉の末に確定した。,,verified,
160,CONTRACT,renegotiation,再交渉,The clause allows renegotiation upon hardship.,その条項は困難な事情がある場合の再交渉を認める。,,verified,
161,CONTRACT,termination notice,解除通知,The termination notice was sent by courier.,解除通知は宅配便で送付された。,,verified,
162,CONTRACT,notice period,通知期間,The notice period is ninety days.,通知期間は90日である。,,verified,
163,CONTRACT,automatic renewal,自動更新,The lease provides for automatic renewal.,その賃貸借契約は自動更新を定める。,,verified,
164,CONTRACT,evergreen clause,自動更新条項,The evergreen clause renews the term annually.,自動更新条項により期間は毎年更新される。,,verified,
165,CONTRACT,grace period,猶予期間,A ten-day grace period applies to payments.,支払には10日間の猶予期間が適用される。,,verified,
166,CONTRACT,business day,営業日,Payment is due within five business days.,支払は5営業日以内に行われる。,,verified,
167,CONTRACT,calendar day,暦日,The period is counted in calendar days.,その期間は暦日で計算される。,,verified,
168,CONTRACT,prior written consent,事前の書面による同意,Assignment requires prior written consent.,譲渡には事前の書面による同意が必要である。,,verified,
169,CONTRACT,written notice,書面による通知,Written notice must be delivered to the address below.,書面による通知は下記住所に送達されなければならない。,,verified,
170,CONTRACT,electronic signature,電子署名,Electronic signatures are legally valid.,電子署名は法的に有効である。,,verified,
171,CONTRACT,execution date,締結日,The execution date differs from the effective date.,締結日は発効日と異なる。,,verified,
172,CONTRACT,commencement date,開始日,Services begin on the commencement date.,役務は開始日から提供される。,,verified,
173,CONTRACT,completion date,完了日,The works must finish by the completion date.,工事は完了日までに終えなければならない。,,verified,
174,CONTRACT,extension,延長,The parties agreed to a six-month extension.,当事者らは6か月の延長に合意した。,,verified,
175,CONTRACT,suspension,停止(中断),The buyer ordered a suspension of the work.,買主は作業の中断を指示した。,,verified,
176,CONTRACT,resumption,再開,Resumption of work followed the payment.,支払の後に作業が再開された。,,verified,
177,CONTRACT,assignment of rights,権利の譲渡,The assignment of rights was notified to the debtor.,権利の譲渡は債務者に通知された。,,verified,
178,CONTRACT,change of control,支配権の変更(チェンジ・オブ・コントロール),A change of control permits termination.,支配権の変更があれば解除できる。,,verified,
179,CONTRACT,audit rights,監査権,The licensor has audit rights over royalty reports.,ライセンサーはロイヤルティ報告に対する監査権を有する。,,verified,
180,CONTRACT,records retention,記録保持,Records retention is required for seven years.,記録は7年間保持しなければならない。,,verified,
181,CONTRACT,compliance with laws,法令遵守,Each party warrants compliance with laws.,各当事者は法令遵守を保証する。,,verified,
182,CONTRACT,anti-bribery,贈賄禁止,The anti-bribery clause references applicable statutes.,贈賄禁止条項は適用法令を引用する。,,verified,
183,CONTRACT,export control,輸出管理,The software is subject to export control laws.,そのソフトウェアは輸出管理法令の適用を受ける。,,verified,
184,CONTRACT,data protection,データ保護,The processor complies with data protection laws.,処理者はデータ保護法を遵守する。,,verified,
185,CONTRACT,personal data,個人データ,Personal data shall be processed lawfully.,個人データは適法に処理されなければならない。,,verified,
186,CONTRACT,intellectual property rights,知的財産権,All intellectual property rights remain with the licensor.,すべての知的財産権はライセンサーに帰属する。,,verified,
187,CONTRACT,ownership of work product,成果物の帰属,Ownership of work product vests in the client.,成果物の権利はクライアントに帰属する。,,verified,
188,CONTRACT,background IP,既存知的財産(バックグラウンドIP),Each party retains its background IP.,各当事者は既存知的財産を保持する。,,verified,
189,CONTRACT,foreground IP,新規知的財産(フォアグラウンドIP),Foreground IP belongs to the funding party.,新規知的財産は資金提供者に帰属する。,,verified,
190,CONTRACT,infringement,権利侵害,The use constituted infringement of the mark.,その使用は商標の権利侵害にあたった。,,verified,
191,CONTRACT,warranty disclaimer,保証の否認,The warranty disclaimer is printed in capitals.,保証の否認文言は大文字で記載される。,,verified,
192,CONTRACT,as is,現状有姿,The equipment is sold as is.,その設備は現状有姿で売却される。,,verified,
193,CONTRACT,fitness for purpose,目的適合性,The seller disclaimed fitness for purpose.,売主は目的適合性の保証を否認した。,,verified,
194,CONTRACT,merchantability,商品性,The implied warranty of merchantability was excluded.,商品性の黙示的保証は排除された。,,verified,
195,CONTRACT,remedies cumulative,救済手段の累積,Remedies are cumulative and not exclusive.,救済手段は累積的であり排他的でない。,,verified,
196,CONTRACT,sole remedy,唯一の救済手段,Repair or replacement is the sole remedy.,修理又は交換が唯一の救済手段である。,,verified,
197,CONTRACT,equitable relief,衡平法上の救済,The licensor may seek equitable relief.,ライセンサーは衡平法上の救済を求めることができる。,,verified,
198,CONTRACT,irreparable harm,回復不能な損害,Disclosure would cause irreparable harm.,開示は回復不能な損害をもたらす。,,verified,
199,CONTRACT,injunctive relief,差止めによる救済,Injunctive relief is available for breaches of confidentiality.,秘密保持違反には差止めによる救済が認められる。,,verified,
200,CONTRACT,declaratory judgment,確認判決,The company sought a declaratory judgment of non-infringement.,当社は非侵害の確認判決を求めた。,,verified,
201,CLAUSE,whereas,~であるので(前文の導入),Whereas the parties wish to cooperate as follows.,当事者らは以下のとおり協力を望むので。,,verified,
202,CLAUSE,hereinafter,以下(~という),ABC Inc. (hereinafter the Seller) agrees as follows.,ABC社(以下「売主」)は以下のとおり合意する。,,verified,
203,CLAUSE,herein,本契約書中に,Capitalized terms are defined herein.,大文字語は本契約書中で定義される。,,verified,
204,CLAUSE,hereof,本契約書の,Section 5 hereof governs termination.,本契約第5条が解除を規律する。,,verified,
205,CLAUSE,hereto,本契約書に,The parties hereto agree as follows.,本契約の当事者は以下のとおり合意する。,,verified,
206,CLAUSE,hereby,本契約書により,The Seller hereby grants a license.,売主は本契約によりライセンスを許諾する。,,verified,
207,CLAUSE,hereunder,本契約書に基づき,All payments due hereunder shall be in dollars.,本契約に基づく支払はすべてドル建てとする。,,verified,
208,CLAUSE,thereof,それの,The agreement and any amendment thereof remain valid.,契約及びその変更は有効に存続する。,,verified,
209,CLAUSE,thereto,それに,The schedule and any annex thereto are incorporated.,別紙及びその附属書は契約に組み込まれる。,,verified,
210,CLAUSE,thereunder,それに基づき,The license and the rights thereunder are non-transferable.,ライセンス及びそれに基づく権利は譲渡できない。,,verified,
211,CLAUSE,aforementioned,前述の,The aforementioned conditions must be satisfied.,前述の条件は充足されなければならない。,,verified,
212,CLAUSE,foregoing,上記の,Notwithstanding the foregoing the cap applies.,上記にかかわらず責任上限が適用される。,,verified,
213,CLAUSE,notwithstanding,~にかかわらず,Notwithstanding Section 3 the buyer may terminate.,第3条にかかわらず買主は解除できる。,,verified,
214,CLAUSE,provided that,ただし~を条件として,The license continues provided that royalties are paid.,ロイヤルティの支払を条件としてライセンスは継続する。,,verified,
215,CLAUSE,subject to,~を条件として(~に従うことを前提に),The obligation is subject to force majeure.,その義務は不可抗力条項に服する。,,verified,
216,CLAUSE,pursuant to,~に従って,Notice was given pursuant to Section 10.,通知は第10条に従って行われた。,,verified,
217,CLAUSE,in accordance with,~に従い,Disputes are resolved in accordance with this clause.,紛争は本条項に従って解決される。,,verified,
218,CLAUSE,in witness whereof,以上の証として,In witness whereof the parties have executed this agreement.,以上の証として当事者らは本契約を締結した。,,verified,
219,CLAUSE,now therefore,よって(本文の導入),Now therefore the parties agree as follows.,よって当事者らは以下のとおり合意する。,,verified,
220,CLAUSE,shall,~しなければならない(義務),The supplier shall deliver by March 31.,供給者は3月31日までに納入しなければならない。,,verified,
221,CLAUSE,may,~することができる(権利・裁量),Either party may terminate upon notice.,いずれの当事者も通知により解除できる。,,verified,
222,CLAUSE,deem,みなす,The parties deem the notice effective upon sending.,当事者らは通知を発信時に有効とみなす。,,verified,
223,CLAUSE,deemed,みなされた,Silence is deemed acceptance of the report.,沈黙は報告書の承認とみなされる。,,verified,
224,CLAUSE,without limitation,制限なく,Losses include without limitation lost profits.,損失には制限なく逸失利益が含まれる。,,verified,
225,CLAUSE,including but not limited to,~を含むがこれに限られない,Costs including but not limited to fees are reimbursed.,報酬を含むがこれに限られない費用が償還される。,,verified,
226,CLAUSE,null and void,無効な,The unsigned amendment is null and void.,署名のない変更は無効である。,,verified,
227,CLAUSE,terms and conditions,諸条件,The terms and conditions appear on the website.,諸条件はウェブサイトに掲載されている。,,verified,
228,CLAUSE,from time to time,随時,The policy may be updated from time to time.,ポリシーは随時更新されることがある。,,verified,
229,CLAUSE,at its sole discretion,その単独の裁量で,The licensor may refuse at its sole discretion.,ライセンサーはその単独の裁量で拒否できる。,,verified,
230,CLAUSE,to the extent permitted by law,法令の許す範囲で,Liability is excluded to the extent permitted by law.,法令の許す範囲で責任は排除される。,,verified,
231,CLAUSE,applicable law,適用法,The processing complies with applicable law.,その処理は適用法を遵守する。,,verified,
232,CLAUSE,in full force and effect,完全に有効で,The remaining provisions continue in full force and effect.,その余の条項は完全に有効に存続する。,,verified,
233,CLAUSE,execute and deliver,締結し交付する,Each party shall execute and deliver the documents.,各当事者は文書を締結し交付する。,,verified,
234,CLAUSE,duly authorized,正当に授権された,The signatory is duly authorized to bind the company.,署名者は会社を拘束する正当な権限を有する。,,verified,
235,CLAUSE,duly executed,正当に締結された,The agreement was duly executed by both parties.,契約は両当事者により正当に締結された。,,verified,
236,CLAUSE,binding obligation,拘束力ある義務,This agreement constitutes a binding obligation.,本契約は拘束力ある義務を構成する。,,verified,
237,CLAUSE,arm's length,独立当事者間(の),The price reflects an arm's length transaction.,その価格は独立当事者間取引を反映する。,,verified,
238,CLAUSE,commercially reasonable,商業的に合理的な,The seller shall take commercially reasonable steps.,売主は商業的に合理的な措置を講じる。,,verified,
239,CLAUSE,material adverse effect,重大な悪影響,No event has caused a material adverse effect.,重大な悪影響を生じさせた事象は存在しない。,,verified,
240,CLAUSE,material adverse change,重大な悪化,The lender may withdraw upon a material adverse change.,重大な悪化があれば貸主は撤回できる。,,verified,
241,CLAUSE,to the best of its knowledge,その知る限りにおいて,To the best of its knowledge no claim is pending.,その知る限り係属中の請求は存在しない。,,verified,
242,CLAUSE,represent and warrant,表明し保証する,The parties represent and warrant as follows.,当事者らは以下のとおり表明し保証する。,,verified,
