id,subject,term,meaning_ja,example_en,example_ja,source,status,used_at
20,FAR,current assets,流動資産,Cash is classified as a current asset.,現金は流動資産に分類される。,,verified,
21,FAR,noncurrent assets,固定資産(非流動資産),Equipment is reported as a noncurrent asset.,設備は固定資産として報告される。,,verified,
22,FAR,current liabilities,流動負債,Accounts payable are current liabilities.,買掛金は流動負債である。,,verified,
23,FAR,noncurrent liabilities,固定負債(非流動負債),Bonds payable are usually noncurrent liabilities.,社債は通常は固定負債である。,,verified,
24,FAR,cash and cash equivalents,現金及び現金同等物,Cash and cash equivalents include short-term deposits.,現金及び現金同等物には短期預金が含まれる。,,verified,
25,FAR,marketable securities,市場性有価証券,The company invested in marketable securities.,当社は市場性有価証券に投資した。,,verified,
26,FAR,allowance for doubtful accounts,貸倒引当金,The allowance for doubtful accounts was increased.,貸倒引当金が増額された。,,verified,
27,FAR,bad debt expense,貸倒費用(貸倒損失),Bad debt expense is estimated at year-end.,貸倒費用は期末に見積もられる。,,verified,
28,FAR,notes receivable,受取手形,Notes receivable bear interest.,受取手形には利息が付く。,,verified,
29,FAR,notes payable,支払手形,The company issued notes payable to the bank.,当社は銀行に支払手形を振り出した。,,verified,
30,FAR,prepaid expenses,前払費用,Prepaid expenses are assets until they are used.,前払費用は使用されるまで資産である。,,verified,
31,FAR,accrued revenue,未収収益,Accrued revenue is earned but not yet received.,未収収益は稼得済みだが未回収の収益である。,,verified,
32,FAR,property plant and equipment,有形固定資産,Property plant and equipment are depreciated.,有形固定資産は減価償却される。,,verified,
33,FAR,accumulated depreciation,減価償却累計額,Accumulated depreciation is a contra account.,減価償却累計額は評価勘定である。,,verified,
34,FAR,salvage value,残存価額,The machine has a salvage value of $1000.,その機械の残存価額は1000ドルである。,,verified,
35,FAR,useful life,耐用年数,The building has a useful life of 40 years.,その建物の耐用年数は40年である。,,verified,
36,FAR,straight-line method,定額法,Depreciation is computed using the straight-line method.,減価償却は定額法で計算される。,,verified,
37,FAR,declining balance method,定率法,The declining balance method front-loads depreciation.,定率法では償却費が初期に多く計上される。,,verified,
38,FAR,units-of-production method,生産高比例法,The units-of-production method is based on output.,生産高比例法は生産量に基づく。,,verified,
39,FAR,intangible assets,無形資産,Patents are intangible assets.,特許権は無形資産である。,,verified,
40,FAR,patent,特許権,The patent was acquired for $50000.,その特許権は5万ドルで取得された。,,verified,
41,FAR,trademark,商標権,The trademark protects the brand name.,商標権はブランド名を保護する。,,verified,
42,FAR,copyright,著作権,The copyright covers the published work.,著作権は出版物を保護する。,,verified,
43,FAR,research and development costs,研究開発費,Research and development costs are generally expensed.,研究開発費は原則として費用処理される。,,verified,
44,FAR,capitalize,資産計上する,The company capitalized the installation costs.,当社は据付費用を資産計上した。,,verified,
45,FAR,revenue recognition,収益認識,Revenue recognition follows a five-step model.,収益認識は5ステップ・モデルに従う。,,verified,
46,FAR,performance obligation,履行義務,Each performance obligation is identified in the contract.,契約の中で各履行義務が識別される。,,verified,
47,FAR,transaction price,取引価格,The transaction price is allocated to each obligation.,取引価格は各履行義務に配分される。,,verified,
48,FAR,matching principle,費用収益対応の原則,Expenses are recognized under the matching principle.,費用は費用収益対応の原則により認識される。,,verified,
49,FAR,conservatism,保守主義,Conservatism avoids overstating assets.,保守主義は資産の過大表示を避ける。,,verified,
50,FAR,consistency,継続性,Consistency requires the same methods each period.,継続性は毎期同じ方法の適用を求める。,,verified,
51,FAR,comparability,比較可能性,Comparability helps users compare companies.,比較可能性は企業間の比較に役立つ。,,verified,
52,FAR,relevance,目的適合性,Relevant information affects users' decisions.,目的適合性のある情報は利用者の意思決定に影響する。,,verified,
53,FAR,faithful representation,忠実な表現,Faithful representation requires complete and neutral information.,忠実な表現は完全で中立的な情報を求める。,,verified,
54,FAR,first-in first-out (FIFO),先入先出法,FIFO assumes the oldest goods are sold first.,先入先出法では古い商品から販売されたとみなす。,,verified,
55,FAR,last-in first-out (LIFO),後入先出法,LIFO assumes the newest goods are sold first.,後入先出法では新しい商品から販売されたとみなす。,,verified,
56,FAR,weighted-average method,加重平均法,The weighted-average method smooths cost fluctuations.,加重平均法は原価の変動を平準化する。,,verified,
57,FAR,lower of cost or market,低価法,Inventory is measured at the lower of cost or market.,棚卸資産は低価法で測定される。,,verified,
58,FAR,net realizable value,正味実現可能価額,Net realizable value is the estimated selling price less costs.,正味実現可能価額は見積売価から費用を控除した額である。,,verified,
59,FAR,cost of goods sold,売上原価,Cost of goods sold is deducted from sales.,売上原価は売上高から控除される。,,verified,
60,FAR,gross profit,売上総利益,Gross profit equals sales minus cost of goods sold.,売上総利益は売上高から売上原価を差し引いた額である。,,verified,
61,FAR,operating income,営業利益,Operating income excludes interest expense.,営業利益には支払利息は含まれない。,,verified,
62,FAR,net income,当期純利益,Net income increased by 10 percent.,当期純利益は10パーセント増加した。,,verified,
63,FAR,earnings per share,1株当たり利益,Earnings per share is disclosed on the income statement.,1株当たり利益は損益計算書で開示される。,,verified,
64,FAR,diluted earnings per share,希薄化後1株当たり利益,Diluted earnings per share reflects convertible securities.,希薄化後1株当たり利益は転換証券を反映する。,,verified,
65,FAR,common stock,普通株式,The company issued common stock for cash.,当社は現金と引換えに普通株式を発行した。,,verified,
66,FAR,preferred stock,優先株式,Preferred stock has priority over common stock.,優先株式は普通株式に優先する。,,verified,
67,FAR,treasury stock,自己株式,Treasury stock reduces total equity.,自己株式は資本合計を減少させる。,,verified,
68,FAR,additional paid-in capital,払込剰余金(資本剰余金),The excess was credited to additional paid-in capital.,超過額は払込剰余金に貸方記入された。,,verified,
69,FAR,dividends,配当金,The board declared cash dividends.,取締役会は現金配当を宣言した。,,verified,
70,FAR,stock split,株式分割,The company announced a two-for-one stock split.,当社は1対2の株式分割を発表した。,,verified,
71,FAR,stock dividend,株式配当,A stock dividend does not change total equity.,株式配当は資本合計を変化させない。,,verified,
72,FAR,comprehensive income,包括利益,Comprehensive income includes unrealized gains.,包括利益には未実現利益が含まれる。,,verified,
73,FAR,accumulated other comprehensive income,その他の包括利益累計額,Translation adjustments are part of accumulated other comprehensive income.,為替換算調整額はその他の包括利益累計額に含まれる。,,verified,
74,FAR,bonds payable,社債,The company issued bonds payable at a discount.,当社は社債を割引発行した。,,verified,
75,FAR,bond premium,社債の打歩発行差額(プレミアム),The bond premium is amortized over the bond term.,社債プレミアムは償還期間にわたり償却される。,,verified,
76,FAR,bond discount,社債の割引発行差額(ディスカウント),The bond discount increases interest expense.,社債ディスカウントは支払利息を増加させる。,,verified,
77,FAR,effective interest method,実効金利法,Interest expense is computed under the effective interest method.,支払利息は実効金利法で計算される。,,verified,
78,FAR,face value,額面金額,The bond has a face value of $1000.,その社債の額面金額は1000ドルである。,,verified,
79,FAR,stated interest rate,表面利率,The stated interest rate is 5 percent.,表面利率は5パーセントである。,,verified,
80,FAR,maturity date,満期日,The note is due on its maturity date.,その手形は満期日に支払期限を迎える。,,verified,
81,FAR,finance lease,ファイナンス・リース,A finance lease transfers control of the asset.,ファイナンス・リースは資産の支配を移転する。,,verified,
82,FAR,operating lease,オペレーティング・リース,Office space is often held under an operating lease.,オフィスはオペレーティング・リースで賃借されることが多い。,,verified,
83,FAR,right-of-use asset,使用権資産,The lessee recognizes a right-of-use asset.,借手は使用権資産を認識する。,,verified,
84,FAR,lease liability,リース負債,The lease liability equals the present value of payments.,リース負債はリース料の現在価値に等しい。,,verified,
85,FAR,deferred tax asset,繰延税金資産,A deferred tax asset arises from deductible differences.,繰延税金資産は将来減算一時差異から生じる。,,verified,
86,FAR,deferred tax liability,繰延税金負債,A deferred tax liability arises from taxable differences.,繰延税金負債は将来加算一時差異から生じる。,,verified,
87,FAR,temporary difference,一時差異,Depreciation methods often create temporary differences.,減価償却方法の違いはしばしば一時差異を生む。,,verified,
88,FAR,permanent difference,永久差異,Fines are a common permanent difference.,罰金は代表的な永久差異である。,,verified,
89,FAR,defined benefit plan,確定給付制度,A defined benefit plan promises a fixed pension.,確定給付制度は一定の年金を約束する。,,verified,
90,FAR,defined contribution plan,確定拠出制度,The employer contributes to a defined contribution plan.,事業主は確定拠出制度に拠出する。,,verified,
91,FAR,contingent liability,偶発債務,The lawsuit created a contingent liability.,その訴訟により偶発債務が生じた。,,verified,
92,FAR,warranty liability,製品保証引当金,The warranty liability is estimated from past experience.,製品保証引当金は過去の実績から見積もられる。,,verified,
93,FAR,subsequent events,後発事象,Subsequent events are evaluated before the report is issued.,後発事象は報告書発行前に評価される。,,verified,
94,FAR,related party transactions,関連当事者取引,Related party transactions must be disclosed.,関連当事者取引は開示が必要である。,,verified,
95,FAR,segment reporting,セグメント報告,Segment reporting shows results by business unit.,セグメント報告は事業単位ごとの業績を示す。,,verified,
96,FAR,interim financial reporting,期中財務報告,Interim financial reporting is issued quarterly.,期中財務報告は四半期ごとに公表される。,,verified,
97,FAR,foreign currency translation,外貨換算,Foreign currency translation affects consolidated statements.,外貨換算は連結財務諸表に影響する。,,verified,
98,FAR,exchange rate,為替レート,The exchange rate changed significantly this year.,今年は為替レートが大きく変動した。,,verified,
99,FAR,hedging,ヘッジ,Hedging reduces exposure to currency risk.,ヘッジは為替リスクへのエクスポージャーを減らす。,,verified,
100,FAR,derivative,デリバティブ(金融派生商品),A forward contract is a derivative.,先渡契約はデリバティブである。,,verified,
101,FAR,equity method,持分法,The investment is accounted for under the equity method.,その投資は持分法で会計処理される。,,verified,
102,FAR,subsidiary,子会社,The parent controls its subsidiary.,親会社は子会社を支配している。,,verified,
103,FAR,parent company,親会社,The parent company prepares consolidated statements.,親会社は連結財務諸表を作成する。,,verified,
104,FAR,noncontrolling interest,非支配持分,Noncontrolling interest is presented within equity.,非支配持分は資本の部に表示される。,,verified,
105,FAR,business combination,企業結合,The business combination was accounted for as an acquisition.,その企業結合は取得として会計処理された。,,verified,
106,FAR,acquisition,取得(買収),The acquisition was completed in March.,その買収は3月に完了した。,,verified,
107,FAR,merger,合併,The merger created the largest firm in the industry.,その合併により業界最大の企業が誕生した。,,verified,
108,FAR,consolidation,連結,Consolidation combines the parent and its subsidiaries.,連結は親会社と子会社を結合する。,,verified,
109,FAR,elimination entry,連結消去仕訳,An elimination entry removes intercompany sales.,連結消去仕訳はグループ内売上を消去する。,,verified,
110,FAR,intercompany transaction,グループ内取引(内部取引),Intercompany transactions are eliminated in consolidation.,グループ内取引は連結上消去される。,,verified,
111,FAR,journal entry,仕訳,The accountant recorded a journal entry.,経理担当者は仕訳を記帳した。,,verified,
112,FAR,general ledger,総勘定元帳,All accounts are kept in the general ledger.,すべての勘定は総勘定元帳に記録される。,,verified,
113,FAR,trial balance,試算表,The trial balance lists all account balances.,試算表はすべての勘定残高を一覧にする。,,verified,
114,FAR,adjusting entries,決算整理仕訳,Adjusting entries are made at period-end.,決算整理仕訳は期末に行われる。,,verified,
115,FAR,closing entries,帳簿の締切仕訳,Closing entries reset the temporary accounts.,締切仕訳は一時勘定をゼロに戻す。,,verified,
116,FAR,chart of accounts,勘定科目一覧表,Each account number is defined in the chart of accounts.,各勘定番号は勘定科目一覧表で定義される。,,verified,
117,FAR,debit,借方,Cash was recorded as a debit.,現金は借方に記帳された。,,verified,
118,FAR,credit,貸方,Revenue is recorded as a credit.,収益は貸方に記帳される。,,verified,
119,FAR,double-entry bookkeeping,複式簿記,Double-entry bookkeeping keeps debits equal to credits.,複式簿記では借方と貸方が常に一致する。,,verified,
120,FAR,fiscal year,会計年度,The fiscal year ends on December 31.,会計年度は12月31日に終了する。,,verified,
121,FAR,book value,簿価,The book value of the asset is $8000.,その資産の簿価は8000ドルである。,,verified,
122,FAR,present value,現在価値,The liability is measured at present value.,その負債は現在価値で測定される。,,verified,
123,FAR,future value,将来価値,Future value grows with compound interest.,将来価値は複利で増加する。,,verified,
124,FAR,discount rate,割引率,A higher discount rate lowers present value.,割引率が高いほど現在価値は低くなる。,,verified,
125,FAR,annuity,年金(定額の定期支払),The lease payments form an annuity.,そのリース料は年金型の支払である。,,verified,
126,FAR,installment sales,割賦販売,Installment sales are collected over several years.,割賦販売の代金は数年にわたり回収される。,,verified,
127,FAR,percentage-of-completion method,工事進行基準,Revenue is recognized under the percentage-of-completion method.,収益は工事進行基準で認識される。,,verified,
128,FAR,completed-contract method,工事完成基準,The completed-contract method defers revenue until completion.,工事完成基準では完成まで収益が繰り延べられる。,,verified,
129,FAR,construction in progress,建設仮勘定,Costs are accumulated in construction in progress.,原価は建設仮勘定に集計される。,,verified,
130,FAR,asset retirement obligation,資産除去債務,An asset retirement obligation is recognized at present value.,資産除去債務は現在価値で認識される。,,verified,
131,FAR,discontinued operations,非継続事業,Discontinued operations are reported separately.,非継続事業は区分表示される。,,verified,
132,FAR,restructuring charges,事業再編費用,Restructuring charges reduced operating income.,事業再編費用が営業利益を減少させた。,,verified,
133,FAR,write-off,(回収不能債権などの)直接償却,The uncollectible account was written off.,回収不能な債権は直接償却された。,,verified,
134,FAR,write-down,評価減,The inventory write-down was recorded in June.,棚卸資産の評価減が6月に計上された。,,verified,
135,FAR,gain on sale,売却益,The company recognized a gain on sale of equipment.,当社は設備の売却益を認識した。,,verified,
136,FAR,loss on sale,売却損,A loss on sale was reported for the old machine.,旧機械について売却損が報告された。,,verified,
137,FAR,fund accounting,基金会計(ファンド会計),Governments use fund accounting.,政府は基金会計を用いる。,,verified,
138,FAR,modified accrual basis,修正発生主義,Governmental funds use the modified accrual basis.,政府のファンドは修正発生主義を用いる。,,verified,
139,FAR,governmental accounting,政府会計,Governmental accounting differs from business accounting.,政府会計は企業会計と異なる。,,verified,
140,FAR,not-for-profit organization,非営利組織,A not-for-profit organization reports net assets.,非営利組織は純資産を報告する。,,verified,
141,FAR,petty cash,小口現金,Small payments are made from petty cash.,少額の支払は小口現金から行われる。,,verified,
142,FAR,bank reconciliation,銀行勘定調整表,The bank reconciliation is prepared monthly.,銀行勘定調整表は毎月作成される。,,verified,
143,FAR,outstanding checks,未取付小切手,Outstanding checks are deducted from the bank balance.,未取付小切手は銀行残高から控除される。,,verified,
144,FAR,deposit in transit,未達預金,A deposit in transit is added to the bank balance.,未達預金は銀行残高に加算される。,,verified,
145,FAR,voucher,証憑,Each payment is supported by a voucher.,各支払は証憑によって裏付けられる。,,verified,
146,FAR,freight-in,引取運賃,Freight-in is included in inventory cost.,引取運賃は棚卸資産の原価に含まれる。,,verified,
147,FAR,freight-out,発送運賃,Freight-out is a selling expense.,発送運賃は販売費である。,,verified,
148,FAR,purchase discount,仕入割引,A purchase discount was taken for early payment.,早期支払により仕入割引を受けた。,,verified,
149,FAR,sales discount,売上割引,Sales discounts reduce net sales.,売上割引は純売上高を減少させる。,,verified,
150,FAR,sales returns and allowances,売上返品・値引,Sales returns and allowances are contra revenue accounts.,売上返品・値引は収益の控除項目である。,,verified,
151,FAR,purchase returns,仕入返品,Purchase returns reduce inventory cost.,仕入返品は仕入原価を減少させる。,,verified,
152,FAR,consignment,委託販売,Goods on consignment remain the consignor's inventory.,委託販売の商品は委託者の棚卸資産にとどまる。,,verified,
153,FAR,consignor,委託者,The consignor ships goods to the consignee.,委託者は受託者に商品を発送する。,,verified,
154,FAR,consignee,受託者,The consignee sells goods for a commission.,受託者は手数料を得て商品を販売する。,,verified,
155,FAR,FOB shipping point,出荷地渡し,Title passes at shipment under FOB shipping point.,出荷地渡しでは出荷時に所有権が移転する。,,verified,
156,FAR,FOB destination,仕向地渡し,Title passes on delivery under FOB destination.,仕向地渡しでは引渡時に所有権が移転する。,,verified,
157,FAR,perpetual inventory system,継続記録法,The perpetual inventory system updates records continuously.,継続記録法では記録が継続的に更新される。,,verified,
158,FAR,periodic inventory system,棚卸計算法,The periodic inventory system counts goods at period-end.,棚卸計算法では期末に実地棚卸を行う。,,verified,
159,FAR,inventory shrinkage,棚卸減耗,Inventory shrinkage was caused by theft and damage.,棚卸減耗は盗難や破損によって生じた。,,verified,
160,FAR,specific identification method,個別法,The specific identification method tracks each item.,個別法は品目ごとに原価を追跡する。,,verified,
161,FAR,retail inventory method,売価還元法,The retail inventory method estimates ending inventory.,売価還元法は期末棚卸資産を見積もる。,,verified,
162,FAR,gross profit method,売上総利益法,The gross profit method is used for interim estimates.,売上総利益法は期中の見積りに用いられる。,,verified,
163,FAR,factoring,ファクタリング(債権の売却),The company raised cash by factoring its receivables.,当社は債権のファクタリングで資金を調達した。,,verified,
164,FAR,pledging,(債権の)担保差入,Receivables were pledged as collateral for the loan.,債権は借入金の担保として差し入れられた。,,verified,
165,FAR,discounting notes receivable,受取手形の割引,The note was discounted at the bank.,その手形は銀行で割り引かれた。,,verified,
166,FAR,held-to-maturity securities,満期保有目的有価証券,Held-to-maturity securities are carried at amortized cost.,満期保有目的有価証券は償却原価で計上される。,,verified,
167,FAR,trading securities,売買目的有価証券,Trading securities are measured at fair value.,売買目的有価証券は公正価値で測定される。,,verified,
168,FAR,available-for-sale securities,売却可能有価証券,Unrealized gains on available-for-sale securities go to OCI.,売却可能有価証券の未実現利益はその他の包括利益に計上される。,,verified,
169,FAR,unrealized gain,未実現利益,An unrealized gain was recorded on the securities.,その有価証券について未実現利益が計上された。,,verified,
170,FAR,realized gain,実現利益,A realized gain arises when the asset is sold.,実現利益は資産の売却時に生じる。,,verified,
171,FAR,equity securities,持分証券,Equity securities represent ownership interests.,持分証券は所有持分を表す。,,verified,
172,FAR,debt securities,負債性証券(債券),Bonds are debt securities.,社債は負債性証券である。,,verified,
173,FAR,leasehold improvements,賃借設備改良(造作),Leasehold improvements are amortized over the lease term.,造作はリース期間にわたり償却される。,,verified,
174,FAR,capital expenditure,資本的支出,The renovation was treated as a capital expenditure.,その改修は資本的支出として処理された。,,verified,
175,FAR,revenue expenditure,収益的支出,Routine repairs are revenue expenditures.,通常の修繕は収益的支出である。,,verified,
176,FAR,repairs and maintenance,修繕維持費,Repairs and maintenance are expensed as incurred.,修繕維持費は発生時に費用処理される。,,verified,
177,FAR,depletion,減耗償却,Depletion applies to natural resources.,減耗償却は天然資源に適用される。,,verified,
178,FAR,franchise,フランチャイズ権,The franchise was recorded as an intangible asset.,フランチャイズ権は無形資産として計上された。,,verified,
179,FAR,license,ライセンス(使用許諾),The license grants the right to use the software.,そのライセンスはソフトウェアの使用権を与える。,,verified,
180,FAR,startup costs,開業費,Startup costs are expensed as incurred.,開業費は発生時に費用処理される。,,verified,
181,FAR,contra account,評価勘定(控除勘定),Accumulated depreciation is a contra account.,減価償却累計額は評価勘定である。,,verified,
182,FAR,accrued interest,未払利息(未収利息),Accrued interest is recorded at period-end.,未払利息は期末に計上される。,,verified,
183,FAR,callable bond,繰上償還可能社債,A callable bond can be redeemed early by the issuer.,繰上償還可能社債は発行者が期限前に償還できる。,,verified,
184,FAR,convertible bond,転換社債,A convertible bond can be exchanged for common stock.,転換社債は普通株式に転換できる。,,verified,
185,FAR,serial bonds,連続償還社債,Serial bonds mature in installments.,連続償還社債は分割して満期を迎える。,,verified,
186,FAR,term bonds,満期一括償還社債,Term bonds mature on a single date.,満期一括償還社債は単一の期日に満期となる。,,verified,
187,FAR,sinking fund,減債基金,A sinking fund is set aside to repay the bonds.,減債基金は社債の償還のために積み立てられる。,,verified,
188,FAR,troubled debt restructuring,問題債務の条件緩和,The loan terms were modified in a troubled debt restructuring.,問題債務の条件緩和により貸付条件が変更された。,,verified,
189,FAR,note disclosure,注記開示,Details are provided in the note disclosures.,詳細は注記開示で提供される。,,verified,
190,FAR,accounting policies,会計方針,Significant accounting policies are disclosed.,重要な会計方針は開示される。,,verified,
191,FAR,change in accounting estimate,会計上の見積りの変更,A change in accounting estimate is applied prospectively.,会計上の見積りの変更は将来に向かって適用される。,,verified,
192,FAR,change in accounting principle,会計方針の変更,A change in accounting principle is applied retrospectively.,会計方針の変更は遡及適用される。,,verified,
193,FAR,prior period adjustment,前期修正,The error required a prior period adjustment.,その誤謬により前期修正が必要となった。,,verified,
194,FAR,error correction,誤謬の訂正,The error correction was disclosed in the notes.,誤謬の訂正は注記で開示された。,,verified,
195,FAR,restatement,訂正再表示,The financial statements required a restatement.,財務諸表の訂正再表示が必要となった。,,verified,
196,FAR,gross method,総額法,Purchases are recorded at the gross method amount.,総額法では仕入を総額で記録する。,,verified,
197,FAR,net method,純額法,The net method records purchases net of discounts.,純額法では割引控除後の金額で仕入を記録する。,,verified,
198,FAR,trade receivables,営業債権,Trade receivables arise from normal sales.,営業債権は通常の販売から生じる。,,verified,
199,FAR,betterment,改良,The betterment extended the asset's useful life.,その改良により資産の耐用年数が延長された。,,verified,
200,FAR,organization costs,創立費,Organization costs were expensed when incurred.,創立費は発生時に費用処理された。,,verified,
201,AUD,audit risk,監査リスク,Audit risk is the risk of an inappropriate opinion.,監査リスクとは不適切な意見を表明するリスクである。,,verified,
202,AUD,inherent risk,固有リスク,Complex estimates increase inherent risk.,複雑な見積りは固有リスクを高める。,,verified,
203,AUD,control risk,統制リスク,Weak controls increase control risk.,脆弱な統制は統制リスクを高める。,,verified,
204,AUD,detection risk,発見リスク,The auditor lowers detection risk with more testing.,監査人は手続を増やして発見リスクを下げる。,,verified,
205,AUD,risk assessment,リスク評価,Risk assessment is performed during planning.,リスク評価は計画段階で実施される。,,verified,
206,AUD,audit plan,監査計画,The audit plan describes the planned procedures.,監査計画は予定される手続を記載する。,,verified,
207,AUD,audit evidence,監査証拠,Sufficient appropriate audit evidence must be obtained.,十分かつ適切な監査証拠を入手しなければならない。,,verified,
208,AUD,sufficiency,(監査証拠の)十分性,Sufficiency refers to the quantity of evidence.,十分性は証拠の量に関する概念である。,,verified,
209,AUD,appropriateness,(監査証拠の)適切性,Appropriateness refers to the quality of evidence.,適切性は証拠の質に関する概念である。,,verified,
210,AUD,analytical procedures,分析的手続,Analytical procedures compare recorded amounts with expectations.,分析的手続は記録された金額と予想値を比較する。,,verified,
211,AUD,confirmation,確認,The auditor sent a confirmation to the customer.,監査人は顧客に確認状を送付した。,,verified,
212,AUD,positive confirmation,積極的確認,A positive confirmation requests a reply in all cases.,積極的確認は常に回答を求める。,,verified,
213,AUD,negative confirmation,消極的確認,A negative confirmation requests a reply only if incorrect.,消極的確認は誤りがある場合のみ回答を求める。,,verified,
214,AUD,observation,観察,Observation of the inventory count is a common procedure.,棚卸の観察は一般的な監査手続である。,,verified,
215,AUD,inspection,閲覧(検査),Inspection of documents provides audit evidence.,文書の閲覧は監査証拠を提供する。,,verified,
216,AUD,recalculation,再計算,Recalculation verifies mathematical accuracy.,再計算は計算の正確性を確かめる。,,verified,
217,AUD,reperformance,再実施,The auditor reperformed the control procedure.,監査人は統制手続を再実施した。,,verified,
218,AUD,inquiry,質問,Inquiry alone does not provide sufficient evidence.,質問のみでは十分な証拠にならない。,,verified,
219,AUD,vouching,証憑突合(バウチング),Vouching tests for overstatement of recorded amounts.,証憑突合は記録金額の過大表示を検証する。,,verified,
220,AUD,tracing,追跡(トレーシング),Tracing tests for completeness of recorded transactions.,追跡は取引記録の網羅性を検証する。,,verified,
221,AUD,cutoff,期間帰属(カットオフ),Cutoff testing focuses on transactions near year-end.,カットオフ・テストは期末付近の取引に注目する。,,verified,
222,AUD,existence,実在性,Existence addresses whether assets actually exist.,実在性は資産が実際に存在するかを扱う。,,verified,
223,AUD,completeness,網羅性,Completeness addresses whether all transactions are recorded.,網羅性はすべての取引が記録されているかを扱う。,,verified,
224,AUD,accuracy,正確性,Accuracy addresses whether amounts are recorded correctly.,正確性は金額が正しく記録されているかを扱う。,,verified,
225,AUD,valuation and allocation,評価と配分,Valuation addresses whether assets are properly measured.,評価は資産が適切に測定されているかを扱う。,,verified,
226,AUD,rights and obligations,権利と義務,Rights and obligations address ownership of assets.,権利と義務は資産の所有権を扱う。,,verified,
227,AUD,presentation and disclosure,表示と開示,Presentation and disclosure address proper classification.,表示と開示は適切な分類を扱う。,,verified,
228,AUD,occurrence,発生,Occurrence addresses whether recorded transactions took place.,発生は記録された取引が実際に生じたかを扱う。,,verified,
229,AUD,classification,分類,Classification addresses recording in the proper accounts.,分類は適切な勘定への記録を扱う。,,verified,
230,AUD,misstatement,虚偽表示,The auditor identified a material misstatement.,監査人は重要な虚偽表示を発見した。,,verified,
231,AUD,tolerable misstatement,許容虚偽表示,Tolerable misstatement is set below materiality.,許容虚偽表示は重要性より低く設定される。,,verified,
232,AUD,fraud,不正,Fraud involves intentional misstatement.,不正は意図的な虚偽表示を伴う。,,verified,
233,AUD,error,誤謬,An error is an unintentional misstatement.,誤謬は意図的でない虚偽表示である。,,verified,
234,AUD,professional skepticism,職業的懐疑心,The auditor maintains professional skepticism throughout the audit.,監査人は監査全体を通じて職業的懐疑心を保持する。,,verified,
235,AUD,professional judgment,職業的専門家としての判断,Professional judgment is applied in setting materiality.,重要性の設定には職業的判断が用いられる。,,verified,
236,AUD,independence,独立性,Independence is required for audit engagements.,監査業務には独立性が求められる。,,verified,
237,AUD,due professional care,正当な注意,The auditor exercises due professional care.,監査人は正当な注意を払う。,,verified,
238,AUD,engagement letter,監査契約書,The engagement letter defines the scope of the audit.,監査契約書は監査の範囲を定める。,,verified,
239,AUD,predecessor auditor,前任監査人,The new auditor contacted the predecessor auditor.,新任監査人は前任監査人に連絡した。,,verified,
240,AUD,audit report,監査報告書,The audit report was issued in February.,監査報告書は2月に発行された。,,verified,
241,AUD,unmodified opinion,無限定適正意見,The auditor expressed an unmodified opinion.,監査人は無限定適正意見を表明した。,,verified,
242,AUD,qualified opinion,限定付適正意見,A qualified opinion was issued due to a scope limitation.,監査範囲の制約により限定付適正意見が表明された。,,verified,
243,AUD,adverse opinion,不適正意見,An adverse opinion indicates pervasive misstatements.,不適正意見は広範な虚偽表示を示す。,,verified,
